timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
561221875563,39207,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561221884380,39208,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561221916686,39209,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561221950518,39210,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561221984491,39211,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222006704,39212,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222039691,39213,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222077107,39214,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222114249,39215,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222150688,39216,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222165643,39217,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222237031,39218,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222245636,39219,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222264676,39220,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222296901,39221,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222324316,39222,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222353339,39223,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222388281,39224,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222417060,39225,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222449534,39226,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222478388,39227,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222514538,39228,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222545582,39229,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222597188,39230,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222604398,39231,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222636223,39232,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222672567,39233,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222696932,39234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222750445,39235,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222759338,39236,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222790427,39237,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222824474,39238,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222852163,39239,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222885888,39240,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222914621,39241,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222961949,39242,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561222979513,39243,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223010599,39244,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223050631,39245,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223077117,39246,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223113250,39247,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223134329,39248,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223164480,39249,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223202227,39250,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223233429,39251,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223262124,39252,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223332134,39253,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223338127,39254,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223353194,39255,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561223393365,39256,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
