timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10,EEG-ch11,EEG-ch12,EEG-ch13,EEG-ch14,EEG-ch15,EEG-ch16
560309436773,20279,-2,0,-246.8460654470,3525.0547757872,6591.4238844400,-2728.3018201242,-10317.1361485344,-7977.0203601525,-10993.3315640758,-21674.4521953716,-13965.4740285317,-5166.7569342290,-7200.0520795236,-4183.0473168815,-24103.6598598911,1970.2178049644,5628.1438300582,9357.1657076884
560309436773,20279,-2,0,-248.6347168800,3523.1687827797,6585.5103837841,-2731.1368934839,-10320.7499544908,-7982.3619790578,-10993.4775764376,-21675.5959588730,-13968.2969341946,-5171.8065284106,-7197.1805030734,-4186.1500795713,-24105.5093498082,1968.5629981965,5626.6107002585,9355.4622301332
560309436773,20279,-2,0,-243.6216257889,3527.6221598169,6595.3297151202,-2725.0895481629,-10315.9437142457,-7968.1622768654,-10991.9201112443,-21677.6157965456,-13966.4231088839,-5167.9858716082,-7197.7280494304,-4188.2794265153,-24102.7959534166,1971.4589100404,5626.9148926791,9351.7267472085
560309436773,20279,-2,0,-238.0366529472,3531.2603011669,6608.5438338699,-2719.2612213847,-10310.5534245532,-7953.6097114652,-10990.4964907160,-21677.4089456996,-13960.9233099199,-5158.8966020814,-7201.5000354455,-4187.3911846473,-24100.2285693870,1975.1457221777,5629.5431151928,9351.8119210863
560309436773,20279,-2,0,-236.6495355094,3530.8831025654,6609.9066159141,-2720.1737986464,-10308.1320528854,-7956.5542940964,-10991.6889250047,-21677.8956535725,-13960.1567450201,-5157.3391368881,-7205.7100585463,-4186.3325950237,-24098.2452348049,1975.9974609553,5630.8328910560,9354.6348267492
560309436773,20279,-2,0,-239.8131366834,3526.5514024965,6596.4126401374,-2725.0165419820,-10310.1762259517,-7972.5669831153,-10991.8714404570,-21677.1655917632,-13961.0814899786,-5162.5225757347,-7202.1327556803,-4184.6412851653,-24099.9973831474,1974.9510390285,5630.4556924545,9356.5816582409
560309436773,20279,-2,0,-245.9213204885,3520.8690880801,6586.9705074028,-2730.5528440364,-10315.9072111553,-7978.9915270379,-10995.3148986579,-21681.4607887416,-13964.7317990255,-5164.2625563803,-7197.0831614988,-4190.4087734593,-24104.4020893973,1969.5120785487,5625.1384089429,9355.6325778887
560309436773,20279,-2,0,-244.0353274809,3522.5238948481,6594.4171378585,-2728.8006956939,-10314.0333858445,-7966.8846686990,-10998.0891335335,-21684.6243899156,-13963.7948863701,-5161.4031476269,-7197.4116893130,-4193.0369959731,-24105.3755051431,1970.1813018739,5625.0288996715,9352.4081382306
560309480543,20280,-2,0,-236.2358338174,3529.7150036704,6608.2639768430,-2720.3198110083,-10308.0590467045,-7949.6187069073,-10994.2563090343,-21680.1345097879,-13959.4875216948,-5153.5306477825,-7200.4779489124,-4190.0072394642,-24100.0825570251,1973.7829401335,5628.1559977550,9350.8506730373
560309480543,20280,-2,0,-232.5368539832,3533.7546790156,6612.9363724230,-2717.4725699518,-10306.0878798192,-7949.0954959439,-10992.2486390585,-21677.3724426091,-13956.8349637874,-5147.7631594884,-7202.2666003454,-4188.2064203344,-24097.0162974257,1974.9267036349,5626.7810480140,9352.1526165973
560309480543,20280,-2,0,-236.0289829714,3530.7857609908,6605.3437296055,-2719.9547801036,-10307.7913573744,-7961.7985714270,-10989.3892303051,-21674.2818476161,-13957.3338393571,-5150.2210342467,-7199.3463531079,-4185.9918995126,-24097.4421668145,1973.2110583829,5624.2623347717,9354.4523112969
560309480543,20280,-2,0,-239.3385965073,3526.4175578314,6592.3121263081,-2724.3594863535,-10310.6751015214,-7968.4421338924,-10987.0165294246,-21673.4787796258,-13960.6677882866,-5155.5383177583,-7192.2769212537,-4186.5516135665,-24099.6810230300,1972.6148412385,5621.9504723753,9354.8538452920
560309480543,20280,-2,0,-240.5310307959,3529.6176620958,6597.6294098197,-2721.5122452970,-10310.5655922500,-7957.6980575977,-10986.8461816691,-21676.0339959586,-13961.2761731278,-5152.4477227653,-7190.3422574589,-4189.4231900167,-24100.5692648980,1972.0794625783,5622.0234785562,9352.1404489005
560309480543,20280,-2,0,-238.1461622186,3528.8632648928,6607.9354490288,-2719.7357615608,-10308.7161023329,-7945.8832239826,-10990.1314598113,-21676.6423807998,-13960.0837388391,-5148.0551842122,-7195.0024853421,-4190.5912889117,-24098.8779550397,1974.8902005444,5624.9802288842,9350.1814497120
560309480543,20280,-2,0,-240.2146706785,3526.5635701933,6606.0981268085,-2724.5054987154,-10310.9792939420,-7950.6772965309,-10996.9088669417,-21681.3512794702,-13962.6024520815,-5152.9587660318,-7203.6293823895,-4192.8788159144,-24098.3790794699,1976.2043118013,5625.8684707523,9349.5730648709
560309480543,20280,-2,0,-248.0871705230,3518.5328902901,6591.9957661907,-2733.4609235771,-10318.6814460309,-7972.1532814234,-11002.5790136612,-21685.8168242043,-13967.6155431725,-5161.0381167223,-7207.4378714951,-4194.5214549855,-24100.9099604091,1972.8703628718,5623.7147884146,9351.1061946706
