timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
561656183095,48275,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
561656211757,48276,-2,0,-0.0044444444,0.0044444444,0.0033333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
561656240560,48277,-2,0,-0.0011111111,0.0100000000,-0.0300000000,0.0000000000,0.0000000000,0.0000000000,-2.6000000000,0.0600000000,-9.0100000000
561656270569,48278,-2,0,0.0000000000,0.0033333333,0.0366666667,0.0000000000,0.0000000000,0.0000000000,-2.5200000000,0.2000000000,-9.0800000000
561656301869,48279,-2,0,0.0044444444,-0.0044444444,-0.0077777778,35.2500000000,7.4375000000,17.5000000000,-2.6200000000,0.2000000000,-9.0300000000
561656333051,48280,-2,0,0.0000000000,-0.0088888889,-0.0055555556,35.2500000000,7.4375000000,17.5000000000,-2.5600000000,0.1900000000,-9.0300000000
561656364551,48281,-2,0,-0.0033333333,-0.0011111111,-0.0066666667,35.2500000000,7.4375000000,17.5000000000,-2.5400000000,0.2200000000,-8.9600000000
561656418344,48282,-2,0,-0.0066666667,0.0066666667,-0.0166666667,36.0625000000,8.1875000000,19.3750000000,-2.5600000000,0.1400000000,-9.0300000000
561656453136,48283,-2,0,-0.0011111111,0.0100000000,-0.0044444444,36.0625000000,8.1875000000,19.3750000000,-2.6100000000,0.1600000000,-9.0000000000
561656463344,48284,-2,0,0.0000000000,0.0077777778,-0.0022222222,36.0625000000,8.1875000000,19.3750000000,-2.5600000000,0.1400000000,-9.0200000000
561656486777,48285,-2,0,0.0066666667,0.0077777778,0.0088888889,36.4375000000,7.8125000000,19.3750000000,-2.5500000000,0.1700000000,-9.0200000000
561656528161,48286,-2,0,0.0111111111,0.0022222222,0.0055555556,36.4375000000,7.8125000000,19.3750000000,-2.6300000000,0.2200000000,-9.0400000000
561656555577,48287,-2,0,0.0033333333,-0.0011111111,-0.0022222222,36.4375000000,7.8125000000,19.3750000000,-2.6100000000,0.2100000000,-9.0200000000
561656593569,48288,-2,0,-0.0011111111,-0.0022222222,-0.0100000000,36.4375000000,7.8125000000,19.3750000000,-2.5700000000,0.2100000000,-9.0100000000
561656616821,48289,-2,0,-0.0033333333,0.0000000000,-0.0133333333,37.2500000000,6.6875000000,19.3750000000,-2.6700000000,0.1400000000,-9.0500000000
561656671088,48290,-2,0,-0.0022222222,-0.0055555556,0.0000000000,37.2500000000,6.6875000000,19.3750000000,-2.5800000000,0.1600000000,-9.0100000000
