timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
560668855842,28194,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
560668889425,28195,-2,0,-0.0044444444,0.0122222222,-0.0344444444,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
560668925843,28196,-2,0,0.0011111111,0.0044444444,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-2.7400000000,0.3100000000,-9.0100000000
560668960799,28197,-2,0,0.0044444444,-0.0011111111,-0.0033333333,0.0000000000,0.0000000000,0.0000000000,-2.6800000000,0.3300000000,-8.9800000000
560668981923,28198,-2,0,0.0077777778,0.0000000000,-0.0022222222,36.3125000000,6.3125000000,17.8750000000,-2.6800000000,0.3500000000,-8.9900000000
560669038380,28199,-2,0,0.0000000000,0.0000000000,-0.0077777778,36.3125000000,6.3125000000,17.8750000000,-2.7100000000,0.3700000000,-8.9900000000
560669044495,28200,-2,0,0.0000000000,-0.0011111111,-0.0100000000,36.3125000000,6.3125000000,17.8750000000,-2.6200000000,0.3500000000,-8.9900000000
560669076270,28201,-2,0,0.0011111111,-0.0044444444,-0.0055555556,37.1250000000,7.7500000000,17.5000000000,-2.6400000000,0.3200000000,-9.0000000000
560669152304,28202,-2,0,0.0022222222,-0.0044444444,0.0000000000,37.1250000000,7.7500000000,17.5000000000,-2.7200000000,0.3400000000,-9.0000000000
560669184837,28203,-2,0,0.0033333333,0.0000000000,0.0011111111,37.1250000000,7.7500000000,17.5000000000,-2.6700000000,0.3700000000,-8.9600000000
560669194924,28204,-2,0,0.0033333333,0.0033333333,-0.0011111111,37.1250000000,7.7500000000,17.5000000000,-2.6400000000,0.3500000000,-8.9800000000
560669203338,28205,-2,0,0.0022222222,0.0022222222,-0.0033333333,38.3125000000,7.4375000000,19.0000000000,-2.7700000000,0.3500000000,-8.9900000000
560669242315,28206,-2,0,0.0000000000,0.0000000000,0.0000000000,38.3125000000,7.4375000000,19.0000000000,-2.6600000000,0.3600000000,-8.9900000000
560669269956,28207,-2,0,0.0022222222,0.0000000000,0.0000000000,38.3125000000,7.4375000000,19.0000000000,-2.6800000000,0.3700000000,-8.9300000000
560669302084,28208,-2,0,0.0000000000,0.0066666667,-0.0155555556,36.7500000000,7.4375000000,19.0000000000,-2.7600000000,0.3400000000,-9.0100000000
560669332336,28209,-2,0,0.0066666667,0.0055555556,0.0233333333,36.7500000000,7.4375000000,19.0000000000,-2.6600000000,0.4200000000,-8.8900000000
560669375811,28210,-2,0,0.0100000000,0.0033333333,-0.0211111111,36.7500000000,7.4375000000,19.0000000000,-2.6800000000,0.3800000000,-9.0800000000
560669393658,28211,-2,0,-0.0122222222,-0.0144444444,-0.0355555556,36.3125000000,5.5625000000,18.6250000000,-2.7200000000,0.2500000000,-9.0700000000
560669432192,28212,-2,0,-0.0166666667,-0.0322222222,0.0444444444,36.3125000000,5.5625000000,18.6250000000,-2.6700000000,0.4200000000,-8.9900000000
560669445458,28213,-2,0,0.0000000000,-0.0222222222,-0.0311111111,36.3125000000,5.5625000000,18.6250000000,-2.6400000000,0.3400000000,-8.8900000000
560669517317,28214,-2,0,0.0044444444,-0.0044444444,0.0000000000,37.1250000000,5.1875000000,19.0000000000,-2.6400000000,0.2700000000,-8.8700000000
560669543364,28215,-2,0,0.0077777778,0.0077777778,0.0544444444,37.1250000000,5.1875000000,19.0000000000,-2.7300000000,0.4700000000,-9.0100000000
560669557139,28216,-2,0,0.0011111111,0.0044444444,-0.0433333333,37.1250000000,5.1875000000,19.0000000000,-2.6600000000,0.3800000000,-9.0600000000
560669582325,28217,-2,0,-0.0077777778,-0.0055555556,-0.0188888889,38.3750000000,5.5625000000,17.5000000000,-2.6000000000,0.2700000000,-8.9200000000
560669611129,28218,-2,0,0.0033333333,-0.0011111111,0.0211111111,38.3750000000,5.5625000000,17.5000000000,-2.7300000000,0.3600000000,-8.9500000000
560669652117,28219,-2,0,0.0011111111,0.0022222222,-0.0111111111,38.3750000000,5.5625000000,17.5000000000,-2.6800000000,0.2900000000,-8.9900000000
560669675775,28220,-2,0,0.0000000000,-0.0055555556,0.0411111111,38.3750000000,5.5625000000,17.5000000000,-2.6400000000,0.4400000000,-9.0800000000
560669709635,28221,-2,0,-0.0011111111,-0.0200000000,-0.0100000000,36.7500000000,7.8125000000,20.5000000000,-2.7300000000,0.3700000000,-8.9700000000
560669740861,28222,-2,0,-0.0044444444,-0.0144444444,-0.0066666667,36.7500000000,7.8125000000,20.5000000000,-2.6500000000,0.3100000000,-8.9600000000
560669763625,28223,-2,0,-0.0022222222,-0.0044444444,0.0155555556,36.7500000000,7.8125000000,20.5000000000,-2.6400000000,0.3800000000,-8.9800000000
560669807109,28224,-2,0,-0.0011111111,0.0022222222,-0.0088888889,37.1875000000,6.6875000000,20.1250000000,-2.6200000000,0.3300000000,-9.0100000000
560669877455,28225,5,0,-0.0033333333,-0.0088888889,0.0066666667,37.1875000000,6.6875000000,20.1250000000,-2.6700000000,0.3500000000,-9.0400000000
560669889836,28226,5,0,0.0000000000,-0.0122222222,-0.0022222222,37.1875000000,6.6875000000,20.1250000000,-2.5900000000,0.3400000000,-9.0000000000
560669902235,28227,5,0,0.0011111111,-0.0100000000,0.0044444444,36.7500000000,5.9375000000,19.3750000000,-2.6000000000,0.3400000000,-8.9700000000
560669927230,28228,5,0,0.0011111111,-0.0044444444,0.0011111111,36.7500000000,5.9375000000,19.3750000000,-2.6500000000,0.3900000000,-8.9700000000
560669951056,28229,5,0,0.0000000000,0.0022222222,-0.0077777778,36.7500000000,5.9375000000,19.3750000000,-2.6100000000,0.3500000000,-9.0000000000
560669982491,28230,5,0,0.0000000000,0.0077777778,-0.0011111111,38.3750000000,5.9375000000,19.3750000000,-2.5800000000,0.3300000000,-8.9700000000
560670014758,28231,5,0,0.0000000000,0.0111111111,0.0000000000,38.3750000000,5.9375000000,19.3750000000,-2.6700000000,0.3200000000,-9.0100000000
560670048436,28232,5,0,-0.0011111111,0.0033333333,0.0044444444,38.3750000000,5.9375000000,19.3750000000,-2.6200000000,0.3500000000,-9.0100000000
560670076243,28233,5,0,-0.0055555556,0.0100000000,0.0033333333,38.3750000000,5.9375000000,19.3750000000,-2.6200000000,0.3600000000,-8.9700000000
560670111201,28234,5,0,0.0000000000,0.0088888889,0.0000000000,37.5625000000,7.4375000000,17.8750000000,-2.7300000000,0.3500000000,-9.0100000000
560670148670,28235,5,0,0.0011111111,0.0088888889,-0.0055555556,37.5625000000,7.4375000000,17.8750000000,-2.6400000000,0.3200000000,-8.9900000000
560670172413,28236,5,0,-0.0011111111,0.0033333333,0.0044444444,37.5625000000,7.4375000000,17.8750000000,-2.6400000000,0.3400000000,-8.9900000000
560670247428,28237,5,0,0.0000000000,0.0066666667,-0.0022222222,36.8125000000,7.4375000000,18.2500000000,-2.7000000000,0.3300000000,-9.0100000000
560670256151,28238,5,0,-0.0044444444,0.0000000000,0.0055555556,36.8125000000,7.4375000000,18.2500000000,-2.6600000000,0.3400000000,-9.0100000000
560670267485,28239,5,0,-0.0033333333,-0.0066666667,-0.0066666667,36.8125000000,7.4375000000,18.2500000000,-2.6500000000,0.3100000000,-9.0200000000
560670295118,28240,5,0,0.0000000000,-0.0088888889,0.0122222222,37.1875000000,6.6875000000,18.2500000000,-2.6200000000,0.3600000000,-8.9300000000
560670332466,28241,5,0,0.0066666667,0.0000000000,-0.0166666667,37.1875000000,6.6875000000,18.2500000000,-2.6800000000,0.3400000000,-9.0800000000
560670363791,28242,5,0,-0.0077777778,-0.0166666667,-0.0244444444,37.1875000000,6.6875000000,18.2500000000,-2.6100000000,0.2200000000,-9.1200000000
560670394930,28243,5,0,-0.0111111111,-0.0311111111,0.0500000000,36.8125000000,5.9375000000,17.5000000000,-2.5400000000,0.3600000000,-9.0100000000
560670436192,28244,5,0,0.0011111111,-0.0211111111,-0.0200000000,36.8125000000,5.9375000000,17.5000000000,-2.6500000000,0.3500000000,-8.9400000000
560670451218,28245,5,0,0.0055555556,-0.0033333333,0.0044444444,36.8125000000,5.9375000000,17.5000000000,-2.5600000000,0.2400000000,-8.9000000000
560670484961,28246,5,0,0.0100000000,0.0077777778,0.0422222222,36.8125000000,5.9375000000,18.6250000000,-2.6000000000,0.4300000000,-8.9900000000
560670511251,28247,5,0,0.0055555556,0.0100000000,-0.0244444444,36.8125000000,5.9375000000,18.6250000000,-2.7000000000,0.4100000000,-9.0200000000
560670568055,28248,5,0,-0.0044444444,0.0033333333,-0.0233333333,36.8125000000,5.9375000000,18.6250000000,-2.6000000000,0.3000000000,-9.0500000000
560670594883,28249,5,0,-0.0033333333,-0.0011111111,0.0033333333,36.8125000000,6.3125000000,18.2500000000,-2.6200000000,0.3400000000,-9.0100000000
560670641311,28250,5,0,-0.0022222222,0.0044444444,-0.0322222222,36.8125000000,6.3125000000,18.2500000000,-2.7300000000,0.2900000000,-8.9400000000
560670652662,28251,5,0,-0.0011111111,0.0077777778,0.0255555556,36.8125000000,6.3125000000,18.2500000000,-2.5900000000,0.3000000000,-9.0300000000
560670672605,28252,5,0,0.0011111111,-0.0044444444,0.0100000000,36.8125000000,6.3125000000,18.2500000000,-2.5900000000,0.3500000000,-9.0600000000
560670701142,28253,5,0,0.0033333333,-0.0088888889,0.0088888889,37.1875000000,7.4375000000,19.3750000000,-2.6500000000,0.2800000000,-8.9800000000
560670734924,28254,5,0,0.0011111111,-0.0055555556,0.0300000000,37.1875000000,7.4375000000,19.3750000000,-2.6400000000,0.3600000000,-8.9700000000
560670766149,28255,5,0,0.0011111111,-0.0033333333,-0.0033333333,37.1875000000,7.4375000000,19.3750000000,-2.6100000000,0.3700000000,-8.9900000000
560670797182,28256,5,0,-0.0055555556,0.0011111111,0.0000000000,37.6250000000,6.3125000000,18.2500000000,-2.5700000000,0.3100000000,-9.0100000000
560670826202,28257,5,0,-0.0011111111,-0.0077777778,-0.0022222222,37.6250000000,6.3125000000,18.2500000000,-2.5800000000,0.3100000000,-9.0200000000
560670862270,28258,5,0,0.0000000000,-0.0077777778,0.0000000000,37.6250000000,6.3125000000,18.2500000000,-2.5500000000,0.3100000000,-9.0000000000
560670885937,28259,5,0,0.0022222222,-0.0033333333,0.0111111111,38.4375000000,6.6875000000,19.7500000000,-2.5500000000,0.3600000000,-9.0000000000
560670918445,28260,5,0,0.0000000000,0.0000000000,-0.0100000000,38.4375000000,6.6875000000,19.7500000000,-2.6200000000,0.3300000000,-9.0000000000
560670982378,28261,5,0,-0.0011111111,0.0000000000,-0.0111111111,38.4375000000,6.6875000000,19.7500000000,-2.5800000000,0.3200000000,-8.9900000000
560670987086,28262,5,0,0.0000000000,0.0033333333,-0.0033333333,37.2500000000,6.3125000000,18.6250000000,-2.5700000000,0.3200000000,-9.0300000000
560671021102,28263,5,0,0.0000000000,0.0000000000,0.0000000000,37.2500000000,6.3125000000,18.6250000000,-2.6100000000,0.3000000000,-8.9800000000
