timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
561575809423,46986,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561575818279,46987,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561575845871,46988,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561575870429,46989,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561575903560,46990,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561575962052,46991,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561575974959,46992,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576000993,46993,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576036093,46994,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576080910,46995,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576098280,46996,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576132284,46997,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576154798,46998,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576189825,46999,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576221068,47000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576249800,47001,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576324292,47002,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576336079,47003,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576369966,47004,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576377284,47005,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576408389,47006,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561576452138,47007,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
