timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
560840056554,32447,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840079184,32448,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840089152,32449,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840119225,32450,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840133035,32451,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840164087,32452,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840197885,32453,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840229294,32454,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840259454,32455,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840290478,32456,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840326923,32457,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840426883,32458,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840441679,32459,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840450751,32460,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840465548,32461,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840489295,32462,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840512944,32463,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840542857,32464,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840595383,32465,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840615440,32466,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840639475,32467,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840675668,32468,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840701890,32469,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840776795,32470,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840785466,32471,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840794475,32472,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840827838,32473,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840855358,32474,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560840886770,32475,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
