timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
561070832174,36485,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561070865906,36486,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561070898522,36487,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561070928425,36488,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561070961136,36489,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561070990901,36490,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071020869,36491,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071082393,36492,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071089958,36493,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071118715,36494,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071192280,36495,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071201149,36496,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071223887,36497,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071243740,36498,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071271166,36499,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071306262,36500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071341128,36501,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071377788,36502,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071398553,36503,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071433620,36504,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071462448,36505,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071492218,36506,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071570032,36507,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071578647,36508,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071609868,36509,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071622174,36510,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071652507,36511,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071682120,36512,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071714582,36513,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071748447,36514,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071775928,36515,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071812140,36516,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071846382,36517,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071917802,36518,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071924695,36519,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071932165,36520,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071959904,36521,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561071993841,36522,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561072032306,36523,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561072058862,36524,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561072095068,36525,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561072122366,36526,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561072156316,36527,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561072182437,36528,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561072206374,36529,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561072283173,36530,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
561072289885,36531,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
