timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
560444526375,23251,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444546367,23252,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444600178,23253,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444608965,23254,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444666384,23255,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444680315,23256,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444700256,23257,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444735516,23258,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444765277,23259,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444795231,23260,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444822778,23261,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444855313,23262,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444886689,23263,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444916686,23264,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560444971712,23265,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445002742,23266,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445014193,23267,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445052885,23268,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445077761,23269,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445103074,23270,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445158044,23271,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445179307,23272,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445214237,23273,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445240332,23274,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445269030,23275,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445313087,23276,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445341572,23277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445376352,23278,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445391359,23279,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445431369,23280,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445456431,23281,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445493261,23282,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445510707,23283,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445569470,23284,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445576567,23285,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445605405,23286,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445644375,23287,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445709362,23288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445715327,23289,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445740385,23290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445796405,23291,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445814108,23292,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445830121,23293,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445859241,23294,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445896585,23295,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445921742,23296,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445952979,23297,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560445981605,23298,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560446014311,23299,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560446078123,23300,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560446088201,23301,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560446112947,23302,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560446141786,23303,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560446175594,23304,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560446205564,23305,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560446251943,23306,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560446266880,23307,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
560446299238,23308,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
