timestamp,sequence,battery,flags,Photodiode-ch1
561221875563,39207,-2,0,109677.4193548387
561221875563,39207,-2,0,12903.2258064516
561221875563,39207,-2,0,3225.8064516129
561221875563,39207,-2,0,3225.8064516129
561221875563,39207,-2,0,3225.8064516129
561221875563,39207,-2,0,3225.8064516129
561221875563,39207,-2,0,3225.8064516129
561221875563,39207,-2,0,3225.8064516129
561221884380,39208,-2,0,109677.4193548387
561221884380,39208,-2,0,16129.0322580645
561221884380,39208,-2,0,3225.8064516129
561221884380,39208,-2,0,3225.8064516129
561221884380,39208,-2,0,3225.8064516129
561221884380,39208,-2,0,3225.8064516129
561221884380,39208,-2,0,3225.8064516129
561221884380,39208,-2,0,3225.8064516129
561221916686,39209,-2,0,109677.4193548387
561221916686,39209,-2,0,12903.2258064516
561221916686,39209,-2,0,3225.8064516129
561221916686,39209,-2,0,3225.8064516129
561221916686,39209,-2,0,3225.8064516129
561221916686,39209,-2,0,3225.8064516129
561221916686,39209,-2,0,3225.8064516129
561221916686,39209,-2,0,3225.8064516129
561221950518,39210,-2,0,109677.4193548387
561221950518,39210,-2,0,16129.0322580645
561221950518,39210,-2,0,3225.8064516129
561221950518,39210,-2,0,3225.8064516129
561221950518,39210,-2,0,3225.8064516129
561221950518,39210,-2,0,3225.8064516129
561221950518,39210,-2,0,3225.8064516129
561221950518,39210,-2,0,3225.8064516129
561221984491,39211,-2,0,109677.4193548387
561221984491,39211,-2,0,16129.0322580645
561221984491,39211,-2,0,3225.8064516129
561221984491,39211,-2,0,3225.8064516129
561221984491,39211,-2,0,3225.8064516129
561221984491,39211,-2,0,3225.8064516129
561221984491,39211,-2,0,3225.8064516129
561221984491,39211,-2,0,3225.8064516129
561222006704,39212,-2,0,109677.4193548387
561222006704,39212,-2,0,16129.0322580645
561222006704,39212,-2,0,3225.8064516129
561222006704,39212,-2,0,3225.8064516129
561222006704,39212,-2,0,3225.8064516129
561222006704,39212,-2,0,3225.8064516129
561222006704,39212,-2,0,3225.8064516129
561222006704,39212,-2,0,3225.8064516129
561222039691,39213,-2,0,109677.4193548387
561222039691,39213,-2,0,16129.0322580645
561222039691,39213,-2,0,3225.8064516129
561222039691,39213,-2,0,3225.8064516129
561222039691,39213,-2,0,3225.8064516129
561222039691,39213,-2,0,3225.8064516129
561222039691,39213,-2,0,3225.8064516129
561222039691,39213,-2,0,3225.8064516129
561222077107,39214,-2,0,109677.4193548387
561222077107,39214,-2,0,16129.0322580645
561222077107,39214,-2,0,3225.8064516129
561222077107,39214,-2,0,3225.8064516129
561222077107,39214,-2,0,3225.8064516129
561222077107,39214,-2,0,3225.8064516129
561222077107,39214,-2,0,3225.8064516129
561222077107,39214,-2,0,3225.8064516129
561222114249,39215,-2,0,109677.4193548387
561222114249,39215,-2,0,16129.0322580645
561222114249,39215,-2,0,3225.8064516129
561222114249,39215,-2,0,3225.8064516129
561222114249,39215,-2,0,3225.8064516129
561222114249,39215,-2,0,3225.8064516129
561222114249,39215,-2,0,3225.8064516129
561222114249,39215,-2,0,3225.8064516129
561222150688,39216,-2,0,112903.2258064516
561222150688,39216,-2,0,16129.0322580645
561222150688,39216,-2,0,3225.8064516129
561222150688,39216,-2,0,3225.8064516129
561222150688,39216,-2,0,3225.8064516129
561222150688,39216,-2,0,3225.8064516129
561222150688,39216,-2,0,3225.8064516129
561222150688,39216,-2,0,3225.8064516129
561222165643,39217,-2,0,109677.4193548387
561222165643,39217,-2,0,16129.0322580645
561222165643,39217,-2,0,3225.8064516129
561222165643,39217,-2,0,3225.8064516129
561222165643,39217,-2,0,3225.8064516129
561222165643,39217,-2,0,3225.8064516129
561222165643,39217,-2,0,3225.8064516129
561222165643,39217,-2,0,3225.8064516129
561222237031,39218,-2,0,109677.4193548387
561222237031,39218,-2,0,16129.0322580645
561222237031,39218,-2,0,3225.8064516129
561222237031,39218,-2,0,3225.8064516129
561222237031,39218,-2,0,3225.8064516129
561222237031,39218,-2,0,3225.8064516129
561222237031,39218,-2,0,3225.8064516129
561222237031,39218,-2,0,3225.8064516129
